,city,place,rating,type
459,Bangalore,Devi Temple Temple,4.4,Temple
460,Bangalore,Sri Dakshinamukha Nandi Tirtha Kalyani Kshetra Temple,4.3,Temple
461,Bangalore,Snow City Entertainment Centre,3.8,Entertainment Centre
462,Bangalore,Aquarium Bangalore Aquarium,4,Aquarium
463,Bangalore,Mini Forest Park,4.3,Park
464,Bangalore,"Food Street, V V Puram Street",4,Street
465,Bangalore,National Gallery Of Modern Art Art Gallery,4.4,Art Gallery
466,Bangalore,Kashmir Art Gallery Art Gallery,3.9,Art Gallery
467,Bangalore,Government Of Karnataka Museum Museum,4,Museum
468,Bangalore,Manchinbele Dam Dam,3.8,Dam
469,Bangalore,Garuda Mall Mall,4.1,Mall
470,Bangalore,Chunchi Falls Water Fall,4.1,Water Fall
471,Bangalore,Attara Kacheri Offbeat Attraction,4.2,Offbeat Attraction
472,Bangalore,Raja Rajeshwari Temple Temple,5,Temple
473,Bangalore,Innovative Film City Theme Park,3.7,Theme Park
474,Bangalore,Thippagondanahalli Reservoir Reservoir,4.3,Reservoir
475,Bangalore,Dodda Ganapathi Temple Temple,5,Temple
476,Bangalore,Oralakallu Teertha Historic Place,4.1,Historic Place
477,Bangalore,Jai Durga Maa Temple Temple,5,Temple
478,Bangalore,Mookambika Temple Temple,4.5,Temple
479,Bangalore,Skandagiri Hills (Kalavara Durga) Hill,4.8,Hill
480,Bangalore,Avalabetta Fort Hill,4.6,Hill
481,Bangalore,Thattekere Lake,4.3,Lake
482,Bangalore,Kempegowda Tower 3 Historic Place,2.9,Historic Place
483,Bangalore,Shanmuga Temple Temple,3.9,Temple
484,Bangalore,Shree Mukti Naga Kshetra Religious Place,4.2,Religious Place
485,Bangalore,Miracle Centre Church Church,4.2,Church
486,Bangalore,Anthargange Walkway,3.6,Walkway
487,Bangalore,Devanahalli Fort Fort,3.9,Fort
488,Bangalore,Kempegowda Tower 2 Historic Place,4.3,Historic Place
489,Bangalore,Sri Kaadu Mallikarjunaswamy Temple Temple,3.6,Temple
490,Bangalore,Mantri Square Mall,5,Mall
491,Bangalore,Cauvery Karnataka State Arts & Crafts Emporium Art Emporium,3.6,Art Emporium
492,Bangalore,Deer Park Park,3.6,Park
493,Bangalore,Four Square Gospel Church Church,4.3,Church
494,Bangalore,Kerala Art Gallery Art Gallery,3.9,Art Gallery
495,Bangalore,Seshadari Iyer Memorial Memorial,4,Memorial
496,Bangalore,Sri Vani Science Park Museum,3.6,Museum
497,Bangalore,Art Focus Creativity Art Gallery,5,Art Gallery
498,Bangalore,Chikkabanavara Lake Lake,4,Lake
499,Bangalore,Don Bosco Church Church,5,Church
500,Bangalore,Good Shepherd CSI Church Church,4.3,Church
501,Bangalore,Mahalingeshwara Temple Temple,5,Temple
502,Bangalore,Mukambikey Temple Temple,4.3,Temple
503,Bangalore,New Testament Church Church,2.5,Church
504,Bangalore,Om Shakthi Temple Temple,4.3,Temple
0,Bangalore,Phoenix Market City Mall,4.5,Mall
1,Bangalore,Saint Anthony's Friary Church Church,5,Church
2,Bangalore,Chikka Tirupathi Temple,5,Temple
2,Mysore,Trinesvaraswamy Temple,2.2,Temple
2,Mysore,Karanji Lake,2.3,Lake
2,Mysore,Mysore Zoo,2.3,National Park
2,Mysore,Chamundeshwari Temple,1,Temple
2,Mysore,Jaganmohan Palace,4,Palace
2,Shimoga,Kodachadri Hill,1,Hill
2,Shimoga,Tyavarekoppa Picnic Spot,2.3,Picnic Spot
2,Davanagere,Kunduvada Kere,2,Fort
2,Davanagere,Bagali,2.7,Fort
2,Shimoga,Jog Falls Water Fall,2.7,Water Fall
2,Dandeli,River Kali River,2.7,River
